from_lc_id,to_lc_id,link_edges_count,link_traffic
11,5,5324,443980
13,22,1647,81304
17,11,510,25653
5,19,200,9035
22,19,150,5289
2,19,223,7237
6,19,420,16786
21,19,172,7366
4,19,596,59248
17,0,764,47628
2,17,5613,295832
1,5,8070,665416
15,19,98,4718
4,0,3650,334216
5,0,890,42916
2,11,1837,144912
33,8,44,1559
71,7,3,50
7,19,918,32885
0,5,442,19721
93,10,7,134
3,57,10,279
0,22,889,30160
4,22,6088,737444
2,22,1281,74847
4,9,1987,192118
74,7,14,512
15,6,835,49542
2,13,3317,228457
24,10,2406,204553
20,10,722,31568
7,9,9721,499809
13,15,1492,77996
5,17,2308,197503
4,12,3535,492857
10,12,2406,115042
6,12,658,21166
20,2,753,51455
4,21,4585,442033
1,34,390,25426
8,34,63,1520
8,5,647,43127
25,9,76,3759
2,16,1678,72176
25,3,3309,196899
7,63,72,3086
1166,7,1,10
44,5,249,15177
22,11,529,27905
6,0,800,33909
5,12,936,119659
39,12,101,2955
8,12,231,10370
10,9,449,28114
20,9,56,2072
1,9,1427,101376
8,9,410,18290
8,33,36,966
0,24,62,2306
44,1,103,4511
17,15,758,61117
24,6,1224,105109
42,3,390,14096
14,3,1793,74645
8,15,69,3845
31,7,141,4131
25,1,789,24958
12,24,191,13104
16,11,399,23163
13,0,1035,45392
33,6,205,8222
7,21,1632,67800
19,17,928,47317
3,31,1296,55883
4,73,2,28
7,73,3,72
6,5,2321,119408
14,13,110,5101
21,13,187,7006
44,13,25,943
5,14,675,39948
8,17,2364,95441
44,4,223,19799
123,5,30,865
15,16,276,15071
21,6,1427,53236
5,21,1424,93313
3,75,3,43
4,75,3,112
39,0,70,2771
0,2,778,30748
47,1,70,2609
22,44,9,230
22,12,513,16642
0,9,65,2020
10,16,2433,131009
25,10,873,37405
42,4,245,9101
39,7,938,40352
21,5,993,48643
8,19,384,12108
19,8,260,8332
46,4,1600,376596
17,9,502,58269
14,7,471,18267
47,4,665,33876
22,5,826,57801
2,15,892,101792
24,1,2892,196602
13,24,929,69468
3,82,20,909
10,47,129,9987
10,39,851,55447
11,17,680,30068
19,0,185,5604
7,0,2080,82594
22,0,714,26768
21,12,723,42416
2,25,579,26811
17,25,476,24488
4,86,1,30
61,4,40,1789
3,87,3,77
24,17,355,18142
1,14,349,14258
4,14,1705,284070
12,13,551,22679
46,3,332,19056
6,13,1594,90250
24,13,961,71443
22,21,246,8027
17,21,218,6064
445,4,15,359
33,4,1136,42440
1,25,536,21881
9,17,567,43183
22,17,543,25188
9,12,184,21660
2,92,2,42
3,39,2083,125305
1,39,986,55576
9,27,79,1908
2,39,437,23575
4,39,484,88569
9,39,77,5065
668,4,1,157
24,15,199,32945
7,71,4,67
236,5,4,86
16,34,12,337
11,34,36,915
4,34,74,7450
3,34,357,12946
19,1,407,16040
44,3,891,64968
697,4,3,80
1,19,248,10327
3,98,1,20
5,98,1,33
3,47,404,20445
4,47,867,53728
42,5,56,1788
7,103,14,501
3,104,28,1040
10,21,1397,64964
0,6,794,32654
5,9,1144,87995
3,107,3,43
7,107,3,89
4,107,9,243
54,10,151,7644
25,6,697,29356
3,108,119,9966
3,109,4,83
11,24,503,33875
13,19,272,12639
5,22,1414,208076
15,17,807,56126
44,10,78,3285
46,10,61,2638
4,31,141,9838
6,27,80,3435
6,15,296,12910
4,111,1,18
5,111,1,173
10,111,1,37
21,14,50,1658
7,14,461,16674
13,14,136,5704
12,14,520,47508
25,14,12,347
3,20,1275,64439
8,16,417,16686
74,10,4,57
16,1,1008,47795
14,33,28,1266
11,33,70,1734
12,33,42,1072
10,33,146,7250
5,25,595,44897
0,21,463,9876
24,19,90,4121
6,108,20,533
4,108,19,2221
11,22,1002,73852
21,15,212,8213
1609,3,1,35
108,3,93,2516
15,20,63,5325
19,10,277,11674
4,25,1729,170150
8,14,115,5575
16,4,1399,98306
3,126,1,13
3,129,12,329
3,132,5,325
39,13,31,1156
10,54,57,2173
39,4,287,27210
84,3,4,54
420,3,1,29
7,27,52,1351
24,16,110,6518
19,27,9,265
21,0,580,18521
19,13,369,19245
47,3,504,25301
34,13,14,280
15,21,316,19298
46,5,193,10044
34,1,484,18556
16,5,615,42539
12,6,713,26696
11,25,769,76330
9,13,515,20428
15,0,150,7374
10,20,738,53579
24,25,103,5878
3,147,3,47
10,25,778,45278
5,39,73,3911
8,11,485,21855
3,150,22,452
7,150,13,508
21,9,321,29871
3,151,2,34
3,152,1,14
7,152,1,10
4,154,1,13
15,8,130,8395
15,9,106,5991
9,8,293,15584
25,20,20,1078
24,22,249,11967
13,25,279,8590
9,19,186,11887
557,4,1,38
7,46,931,53136
44,12,113,8469
24,12,216,11221
19,21,123,3656
1454,5,1,13
39,5,56,5356
3,160,80,2392
7,160,55,4723
33,2,147,8497
22,15,84,4268
46,12,5,89
1,74,9,278
4,74,73,6581
4,103,14,516
16,8,248,12565
20,17,221,13922
7,170,3,73
3,170,1,11
7,173,41,1411
3,173,78,2749
19,6,520,22580
9,22,122,4739
34,39,1,78
0,39,63,1971
7,39,966,44513
34,10,334,13801
42,7,197,7600
3,179,1,15
14,24,35,1232
21,17,165,8338
10,63,9,211
5,63,5,206
2,27,29,642
44,22,29,2814
20,22,65,1938
15,22,186,15004
33,1,437,15514
3,137,15,593
7,137,9,128
44,2,104,8668
25,2,772,33368
19,11,473,22890
39,2,576,45779
638,10,2,20
7,42,243,10978
103,2,1,12
7,130,14,583
24,20,33,2746
4,187,1,18
7,187,1,14
21,11,857,39804
4,71,13,308
21,16,25,467
19,4,407,24967
3,194,1,81
15,14,478,27738
1,33,363,15772
19,16,63,2601
39,16,36,2060
3,46,248,12072
46,13,327,21674
121,3,15,4690
24,33,39,2490
9,6,1068,62497
0,11,132,6243
14,22,74,3193
233,7,16,528
1326,3,1,10
0,13,765,26621
1366,3,2,26
19,22,145,4895
34,5,16,1060
109,3,8,209
3,201,1,12
4,202,1,401
10,203,2,173
3,204,31,2637
11,0,189,8460
4,205,20,425
5,206,4,140
22,207,1,27
7,207,4,157
24,0,80,3892
1,46,137,7640
27,10,19,583
25,17,523,26814
47,13,66,2583
7,211,2,37
93,4,8,180
6,31,112,4257
19,9,183,6910
1,63,17,404
2,63,5,98
4,63,53,4872
6,63,11,323
44,0,20,1634
12,0,116,3158
14,0,33,908
47,2,166,8953
0,12,94,3076
6,46,29,2280
13,219,2,38
3,164,8,197
6,33,162,6301
12,93,1,12
9,25,49,3884
8,108,4,183
9,108,10,309
12,19,313,16961
22,16,145,6015
156,3,40,1173
16,22,85,3010
22,9,106,4545
156,7,45,1660
3,94,6,185
25,24,99,3646
47,22,13,537
16,33,18,519
44,6,19,1539
16,6,305,11471
11,44,41,2397
47,5,46,1351
16,0,30,790
6,233,5,363
34,2,42,2777
5,123,42,2592
116,3,4,266
4,234,1,37
9,0,80,3011
14,17,138,7970
34,16,23,578
11,16,583,41150
5,27,17,771
12,25,62,2328
12,9,126,8796
537,3,21,535
6,16,276,10055
55,4,1,18
511,3,2,37
2,14,276,16599
1,238,8,184
3,238,6,119
0,33,21,724
4,241,4,827
3,220,2,27
12,8,236,11495
0,15,38,1145
4,243,5,218
4,244,32,5399
10,244,3,65
2,244,2,48
3,244,3,49
7,244,9,161
17,47,12,8114
2,47,102,5017
14,5,415,18272
754,7,3,85
66,3,18,469
160,3,44,1505
4,252,5,66
7,252,3,36
24,9,93,8732
4,42,402,25155
3,256,32,723
5,44,70,4767
477,7,2,263
7,259,7,135
9,46,11,326
13,9,189,10615
31,6,82,2454
12,17,656,26171
12,39,120,4002
13,42,32,1475
847,4,1,19
19,5,154,5051
1191,3,3,126
7,47,356,13787
5,46,205,25195
13,12,671,30974
22,14,61,2538
25,15,182,16877
17,34,22,485
17,14,129,5353
521,5,1,14
5,274,2,691
11,205,2,28
39,22,42,1609
54,7,70,3107
204,10,1,59
19,12,274,7999
31,2,66,2017
3,280,1,16
93,3,1,796
5,282,3,92
7,282,3,79
4,283,1,15
54,3,46,1777
10,19,279,13893
34,27,6,335
3,66,28,789
1,204,10,300
47,10,104,5650
7,128,73,5947
31,5,121,4718
14,20,17,1102
15,25,292,26554
54,2,35,2221
33,13,63,2848
16,19,29,1685
63,10,11,401
7,102,1,21
3,299,1,25
3,136,12,186
4,136,1,12
1,27,36,866
1522,3,5,103
7,156,69,6885
39,17,210,13048
316,3,5,70
46,2,229,12108
416,3,6,79
7,31,185,6349
33,22,30,985
47,6,30,1037
16,39,28,2011
2,34,42,1825
7,34,60,1491
6,34,11,214
39,6,93,5429
4,128,11,339
6,39,100,3269
4,313,5,183
3,313,2,85
1104,2,2,26
1,47,42,2041
718,3,1,21
10,44,62,5815
3,317,1,10
7,317,1,44
39,8,112,5823
3,318,3,46
25,0,48,1553
19,2,349,11648
14,15,266,11431
188,4,6,124
25,13,198,9373
3,324,2,31
17,33,55,2206
20,12,99,4045
663,3,9,240
205,3,11,224
3,327,8,215
907,3,1,13
33,17,59,1904
4,54,326,52733
16,25,55,2135
13,47,95,4245
94,3,7,165
9,11,44,2734
